mean_drift.subjID,mean_drift.drift,alpha,alpha_mod,tau,drift_mod
biokurs19-01,1.35872186761335,1.59629900031135,0.0213683985614849,0.746617199278739,1.43367143683516
biokurs19-02,1.77447408091019,1.52051951916109,0.0209996585080977,0.860918761420071,1.63111385936182
biokurs19-03,1.0295896213331,1.55964789818215,0.0216954559278439,0.610624176309885,1.24403649240884
biokurs19-04,0.186701296947199,1.68903332190203,0.021999819676475,0.600350736850484,0.526224392886727
biokurs19-05,1.40770034059653,1.69425670388192,0.0215494652744463,0.589132500608758,1.44998791253515
biokurs19-06,0.419143339669804,1.64296962642663,0.0208314425813533,0.64896708815027,0.791104515268859
biokurs19-07,0.398629510271159,1.55876296319999,0.0210546702316072,0.744196217201615,0.769721117774305
biokurs19-08,0.459306227300562,1.69303869319797,0.0221198538565499,0.535219398446496,0.832267921958614
biokurs19-10,0.711374100800538,1.64731495315146,0.0216999890249745,0.482177922922535,1.03522562786035
biokurs19-11,0.302324471019468,1.73749597865068,0.0211137797490274,0.497600373500581,0.674612167163134
biokurs19-12,1.00111429674787,1.68220725418108,0.0235403910553557,0.595709160464514,1.22389450407913
biokurs19-13,0.606975392072778,1.80300511401842,0.0230548103896959,0.567055347005824,0.953381415345071
biokurs19-14,0.987738220433394,1.6964195010996,0.021950057734094,0.59792851666659,1.21650069470491
biokurs19-15,0.969015858631744,1.56299774082346,0.0214737438569846,0.602125331344686,1.20354821026573
