subjID,drift,alpha,alpha_mod,tau,drift_mod,eta_pos,eta_neg
biokurs19-01,1.04325629846395,1.60045342126982,0.0210744775614142,0.741619853472267,1.15069133692154,0.139764931163543,0.110634815612565
biokurs19-02,1.26445468464703,1.46408637102889,0.0225789314800177,0.872119369044188,1.24045353035459,0.160601545755379,0.087097926655656
biokurs19-03,0.856689975380072,1.55990608082788,0.0236449774170981,0.607006155103121,1.05018332923523,0.141547999492688,0.0769556282175874
biokurs19-04,0.335153715038837,1.68908633697635,0.0243523176555026,0.602043305423536,0.768213238163898,0.0227305098250525,0.0354787730207801
biokurs19-05,1.09685116954887,1.68716822987884,0.0228810051350254,0.591849024387496,1.16182476055871,0.153232106212317,0.0792563753032048
biokurs19-06,0.468746576933481,1.64769131109431,0.0205246227972477,0.651815601130386,0.818099835498069,0.109915966956331,0.0515073110270868
biokurs19-07,0.548580479870954,1.57100678220336,0.020133465576834,0.745830035872945,0.915327415359659,0.0750674981798271,0.0473887214048215
biokurs19-08,0.572092806465184,1.66279448114777,0.023628134531986,0.53578421631018,0.916888776096989,0.0925347613105489,0.0536917510194684
biokurs19-09,0.64959516873055,1.56541503599511,0.0201244387330867,0.749654149951535,0.992129465310969,0.079015164160585,0.0507645059663739
biokurs19-10,0.609908704128396,1.63081532217003,0.0232835262242523,0.48354376817229,0.935447115376483,0.0909371124866366,0.0764600991524409
biokurs19-11,0.430410516592411,1.76410020661158,0.0230312964909737,0.492447353595348,0.851836671665532,0.0361794797280377,0.0480319469188702
biokurs19-12,0.797354002622535,1.64891160777507,0.0232355598977517,0.600739998373411,1.00226732392918,0.148926932485213,0.076499372567375
biokurs19-13,0.619507957689131,1.87591776081968,0.023676870912789,0.562780134618204,0.945434689777856,0.0921345784630834,0.0640562817577353
biokurs19-14,0.831799351805919,1.71122287498492,0.0220565588421783,0.594219268224762,1.07675394839887,0.103725847453492,0.0707068250562275
biokurs19-15,0.766388667831253,1.52173998964117,0.022094893243613,0.603541612370699,0.996833318469859,0.125065126108413,0.0998356073928235
biokurs19-16,0.644823310915945,1.70253157300027,0.0215566270089222,0.740143993429746,0.929443493789014,0.136523500119022,0.0594971390322727
biokurs19-17,0.771637972607515,1.52135299161802,0.0237317059282643,0.497033912232457,0.984717812583912,0.140553942282243,0.102744864290618
