subjID,drift,alpha,alpha_mod,tau,drift_mod,wl_corr,wl_pr,pswl_corr,pswl_pr,mean_rt,mean_wl_pswl_pr,mean_wl_pswl_corr
biokurs19-01,0.5250343105189635,-0.045521351093923634,-5.415682181342391e-4,0.11624362308907987,0.3604457466560884,19.92857142857143,29.607142857142854,41.785714285714285,34.82142857142857,0.0521008582467648,32.21428571428571,30.857142857142858
biokurs19-02,0.9333613483259836,-0.11614428712582359,-8.878610129274371e-4,0.22896421664763877,0.5550250063407485,-8.07142857142857,-19.892857142857146,-1.2142857142857153,-36.67857142857143,0.06838672386419842,-28.28571428571429,-4.642857142857142
biokurs19-03,0.20064668290708354,-0.08425929453242365,-9.46560136063368e-5,-0.018666691628015153,0.17305262850394842,8.92857142857143,13.607142857142854,28.785714285714285,32.32142857142857,-0.06890068116210202,22.96428571428571,18.857142857142858
biokurs19-04,-0.6273863923400624,0.046840897471256415,1.87862540953862e-4,-0.030344109672836184,-0.5268586860749825,-45.07142857142857,-48.392857142857146,-20.214285714285715,-53.67857142857143,0.06125113064385945,-51.03571428571429,-32.64285714285714
biokurs19-05,0.5677959967082135,0.049948798610506495,-3.507730693239376e-4,-0.04159769547866121,0.3736511301405385,5.928571428571431,10.607142857142854,14.785714285714285,-1.6785714285714306,-0.06087711794371131,4.464285714285712,10.357142857142858
biokurs19-06,-0.3940962143622535,0.0022931987981564816,-0.0010997963876951365,0.018270879483683777,-0.26632144464715957,-8.07142857142857,-19.892857142857146,15.785714285714285,-0.6785714285714306,0.04898841877945248,-10.285714285714288,3.8571428571428577
biokurs19-07,-0.4144093377683765,-0.07851159153590359,-8.257466255958378e-4,0.11239887257557579,-0.2872543520534465,9.92857142857143,13.607142857142854,29.785714285714285,24.32142857142857,0.04878954872295549,18.96428571428571,19.857142857142858
biokurs19-08,-0.3562088354115435,0.05041534047545637,4.161768534754612e-4,-0.09498471297605016,-0.2276461194112155,-47.07142857142857,-48.392857142857146,-19.214285714285715,9.32142857142857,-0.01285757771382623,-19.53571428571429,-33.14285714285714
biokurs19-11,-0.5111762110532515,0.09134327251998653,-7.506757239718366e-4,-0.13175927570236218,-0.3810487683796825,15.92857142857143,22.607142857142854,25.785714285714285,20.32142857142857,0.07009534582440469,21.46428571428571,20.857142857142858
biokurs19-12,0.16822828641418752,0.038617570733636475,0.0019252952056868639,-0.034984266800913155,0.1504689498103684,4.928571428571431,-9.392857142857146,0.7857142857142847,-35.17857142857143,-0.024377117943711335,-22.28571428571429,2.8571428571428577
biokurs19-13,-0.2145654653778465,0.15678586587197652,0.0014444268756426612,-0.06308891973524322,-0.1124223337907635,-0.0714285714285694,-5.892857142857146,4.785714285714285,-23.17857142857143,0.11010706284724914,-14.535714285714288,2.3571428571428577
biokurs19-15,0.14264568196476146,-0.0781212934965636,-3.2965879219483754e-4,-0.027832247468312143,0.13410505840345843,20.92857142857143,31.107142857142854,-63.214285714285715,36.82142857142857,-0.09782711794371135,33.96428571428571,-21.142857142857142
biokurs19-16,-0.2258544982130125,0.052960423315856486,4.434202357982628e-4,0.10107257821373183,-0.11875265602428853,16.92857142857143,24.107142857142854,-63.214285714285715,11.82142857142857,0.17371006154346813,17.96428571428571,-23.142857142857142
biokurs19-17,0.20598464768715352,-0.08664755001219349,4.6355413189246367e-4,-0.13369225054731715,0.1735558405263884,4.928571428571431,6.607142857142854,4.785714285714285,-18.67857142857143,-0.2397488693561407,-6.035714285714288,4.857142857142858
